,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
26305,26305,2019-01-15 22:24:12,4377338765909719,fraud_Heathcote LLC,shopping_net,1104.91,Nicholas,Mcmahon,M,2123 Jonathan Falls Suite 753,Heiskell,TN,37754,36.115,-84.0438,4729,"Geologist, wellsite",1982-04-19,edd18a9b887dda3f74c4b075c934dc34,1326666252,37.015648,-84.48858800000001,1
631886,631886,2019-09-25 23:42:53,4839615922685395,fraud_Fisher-Schowalter,shopping_net,1001.79,Phillip,Robertson,M,85344 Smith Gateway Apt. 280,Harrodsburg,IN,47434,39.013000000000005,-86.5457,76,Social researcher,1955-05-06,fb2e5f019cd9840cdf0fb1e5ddae8b48,1348616573,39.27045,-87.35677,1
489596,489596,2019-08-02 08:24:23,4477156602511939689,fraud_Kilback LLC,grocery_pos,367.28,Angela,Ross,F,0107 Clements Point,American Fork,UT,84003,40.3928,-111.7941,42384,Futures trader,1992-12-29,9ff6f78045ec88d3b6cea8162704059f,1343895863,39.571072,-110.91388899999998,1
340532,340532,2019-06-09 22:05:48,639023984367,fraud_Kutch-Ferry,home,265.37,Destiny,Lowe,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05,9b3f5299f6ea836908e2bc833085b075,1339279548,44.032869,-75.105312,1
59222,59222,2019-02-04 18:38:30,4451952084362894,fraud_Heathcote LLC,shopping_net,925.74,Joseph,Davis,M,941 Adam Stravenue,Nazareth,TX,79063,34.5444,-102.1069,686,Petroleum engineer,1980-07-30,eb2eb961f3c431509f7716225c8636fb,1328380710,34.513744,-101.758427,1
721036,721036,2019-11-03 23:04:18,60490596305,fraud_McDermott-Weimann,grocery_pos,300.69,Karen,Johnson,F,4349 Anna Flat Suite 214,Haynes,AR,72341,34.8838,-90.7666,222,"Programmer, applications",1963-05-19,6e65039b92f354f80e04575d46336f38,1351983858,35.043411,-90.949092,1
74056,74056,2019-02-12 22:12:24,4210078554961359092,fraud_Schuppe LLC,entertainment,615.49,Valerie,Clark,F,7402 West Ranch,Lowell,OR,97452,43.92100000000001,-122.7806,1420,Systems analyst,1965-11-11,fa546967d00f184de2e99e4df4c2be5e,1329084744,43.28018,-122.063582,1
1017253,1017253,2020-02-23 23:40:58,3514865930894695,"fraud_Roob, Conn and Tremblay",shopping_pos,848.7,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,1967-08-30,e5f68d53ac326b8d2532ba844be4e1f1,1361662858,32.679348,-105.198466,1
146371,146371,2019-03-20 02:56:55,38295635583927,fraud_Pacocha-O'Reilly,grocery_pos,359.7,Candice,Brown,F,9412 Harris Mews,O Brien,TX,79539,33.3749,-99.8473,178,Warden/ranger,1983-06-14,8edeb7f33bdd939a259f2b93c2ad16b2,1332212215,34.305938,-99.65869,1
778357,778357,2019-11-29 23:21:32,4736845434667908128,fraud_Jewess LLC,shopping_pos,690.41,Toni,Gomez,F,062 Carl Dam,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23,c20a8aa14848c0a5274e864b610ddcc9,1354231292,43.991475,-72.839425,1
